date,homeTeamWin,homeTeam,homeTeamConf,homeTeamDiv,homeTeamDaysOff,homeTeamTotalWinPercent,homeTeamConfWinPercent,homeTeamHomeWinPercent,homeTeamLastFive,homeTeamLastTen,awayTeam,awayTeamConf,awayTeamDiv,awayTeamDaysOff,awayTeamTotalWinPercent,awayTeamConfWinPercent,awayTeamAwayWinPercent,awayTeamLastFive,awayTeamLastTen
1480399200,1,UTA,West,Northwest,1,555,454,571,3,5,HOU,West,Southwest,2,647,700,636,4,7
1481868000,1,ORL,East,Southeast,2,407,375,307,1,5,BKN,East,Atlantic,1,291,166,90,2,3
1484546400,1,WAS,East,Southeast,1,512,555,727,4,7,POR,West,Northwest,2,428,448,318,3,5
1488261600,1,WAS,East,Southeast,2,596,605,750,3,7,GS,West,Pacific,1,847,815,800,4,8
1489554000,0,CHI,East,Central,2,477,525,575,1,4,MEM,West,Southwest,2,552,619,515,1,3
1489899600,0,LAL,West,Pacific,1,289,243,375,1,1,CLE,East,Central,1,661,731,515,3,4
1491282000,1,WAS,East,Southeast,1,597,617,743,2,5,CHA,East,Southeast,2,467,468,368,4,7
1491800400,1,MIA,East,Southeast,2,487,500,538,2,5,CLE,East,Central,1,637,700,500,3,5
1491800400,0,DET,East,Central,1,462,420,600,3,3,WAS,East,Southeast,2,600,620,461,2,6
1477890000,0,BKN,East,Atlantic,1,333,333,1000,1,1,CHI,East,Central,1,1000,1000,0,2,2
1478062800,1,UTA,West,Northwest,1,500,500,1000,2,2,DAL,West,Southwest,3,0,0,0,0,0
1482472800,0,MIN,West,Northwest,2,321,250,285,3,4,SAC,West,Pacific,1,413,500,352,3,5
1486101600,1,OKC,West,Northwest,1,560,566,695,2,4,MEM,West,Southwest,1,588,677,538,4,6
1488261600,0,CHI,East,Central,2,508,555,620,4,6,DEN,West,Northwest,2,440,421,344,2,4
1490763600,1,MEM,West,Southwest,1,540,574,600,1,4,IND,East,Central,1,500,466,305,2,4
1491368400,0,DET,East,Central,4,454,428,615,1,2,TOR,East,Atlantic,1,602,625,526,3,8
1491368400,0,BOS,East,Atlantic,3,649,702,736,4,8,CLE,East,Central,1,649,723,500,3,5
1482386400,0,BKN,East,Atlantic,2,259,133,461,1,2,GS,West,Pacific,1,862,818,866,5,9
1482732000,1,BKN,East,Atlantic,3,241,125,428,0,2,CHA,East,Southeast,3,566,550,500,3,6
1488261600,1,DET,East,Central,2,474,457,600,3,6,POR,West,Northwest,2,413,444,322,1,3
1490677200,0,BKN,East,Atlantic,2,219,162,270,3,5,PHI,East,Atlantic,2,369,418,270,2,4
1480226400,0,PHO,West,Pacific,1,294,181,333,2,3,DEN,West,Northwest,1,375,400,375,2,3
1480917600,1,GS,West,Pacific,2,850,800,800,4,9,IND,East,Central,1,500,416,250,3,6
1484114400,1,MIN,West,Northwest,2,315,227,350,1,3,HOU,West,Southwest,1,775,769,714,5,9
1484287200,1,MIN,West,Northwest,2,333,260,380,2,4,OKC,West,Northwest,2,600,590,473,3,6
1484373600,1,UTA,West,Northwest,0,609,615,666,3,7,ORL,East,Southeast,0,414,375,476,1,4
1484892000,1,PHI,East,Atlantic,2,350,416,391,4,7,POR,West,Northwest,2,409,448,291,2,4
1485324000,0,NO,West,Southwest,2,400,250,500,2,4,OKC,West,Northwest,1,577,555,458,2,5
1485756000,1,BOS,East,Atlantic,2,617,700,652,3,6,DET,East,Central,2,446,464,360,3,5
1491886800,1,SAC,West,Pacific,2,387,400,400,2,4,PHO,West,Pacific,2,296,215,225,2,2
1484287200,0,SAC,West,Pacific,3,421,458,444,2,5,CLE,East,Central,2,736,769,588,2,6
1485151200,0,UTA,West,Northwest,2,644,642,695,5,7,OKC,West,Northwest,4,568,538,434,2,4
1490504400,1,HOU,West,Southwest,1,694,720,750,4,7,OKC,West,Northwest,3,577,568,411,4,6
1481695200,0,DAL,West,Southwest,2,250,214,416,2,4,DET,East,Central,3,500,500,357,2,6
1484460000,1,DAL,West,Southwest,2,307,307,388,2,4,MIN,West,Northwest,1,350,291,277,3,5
1488002400,1,GS,West,Pacific,2,842,815,892,4,8,BKN,East,Atlantic,1,157,83,76,0,0
1489554000,0,PHO,West,Pacific,3,328,204,382,2,4,SAC,West,Pacific,1,388,394,375,1,2
1491973200,1,CHI,East,Central,2,493,529,600,3,7,BKN,East,Atlantic,2,246,215,175,3,5
1480744800,0,CHA,East,Southeast,2,578,583,545,3,5,MIN,West,Northwest,0,263,250,200,1,2
1482300000,0,UTA,West,Northwest,0,620,619,666,4,7,SAC,West,Pacific,0,392,470,312,3,4
1482472800,0,DET,East,Central,2,451,421,571,1,3,GS,West,Pacific,1,866,818,875,5,9
1484546400,1,LAC,West,Pacific,2,666,678,727,5,6,OKC,West,Northwest,1,595,583,476,4,5
1486792800,0,OKC,West,Northwest,2,574,593,730,3,6,GS,West,Pacific,1,849,823,814,4,8
1488607200,1,MIA,East,Southeast,1,451,459,517,3,6,CLE,East,Central,1,700,777,571,3,7
1491973200,1,IND,East,Central,2,506,490,700,4,5,ATL,East,Southeast,1,530,588,500,4,6
1479016800,1,POR,West,Northwest,1,600,600,600,4,6,DEN,West,Northwest,1,333,400,500,1,3
1480226400,0,ORL,East,Southeast,1,375,222,444,2,3,MIL,East,Central,1,428,375,200,1,4
1480485600,0,DAL,West,Southwest,3,187,200,333,1,2,SA,West,Southwest,1,777,727,1000,4,9
1484805600,1,CLE,East,Central,2,725,769,857,2,6,PHO,West,Pacific,2,317,178,238,2,4
1490677200,0,IND,East,Central,2,506,466,702,2,5,MIN,West,Northwest,2,388,372,285,0,3
1491109200,1,GS,West,Pacific,1,815,808,888,5,10,WAS,East,Southeast,1,605,617,459,3,5
1480917600,0,NO,West,Southwest,1,333,200,454,1,5,MEM,West,Southwest,2,619,727,600,3,7
1482472800,0,UTA,West,Northwest,2,600,590,625,3,7,TOR,East,Atlantic,3,714,764,750,4,8
1486879200,1,NY,East,Atlantic,1,400,424,464,1,3,SA,West,Southwest,1,773,733,785,4,7
1491714000,1,LAL,West,Pacific,1,303,285,384,3,4,MIN,West,Northwest,2,392,367,282,1,3
1478408400,0,MEM,West,Southwest,1,500,500,750,2,3,POR,West,Northwest,1,500,500,666,2,3
1490158800,1,CHI,East,Central,1,464,500,571,2,2,DET,East,Central,1,478,465,323,1,5
1479276000,0,SAC,West,Pacific,5,363,500,500,2,3,SA,West,Southwest,2,727,625,1000,3,7
1481868000,0,MIA,East,Southeast,2,346,312,333,2,4,LAC,West,Pacific,2,730,812,769,3,5
1482040800,0,MEM,West,Southwest,1,642,733,687,3,7,UTA,West,Northwest,1,629,631,583,4,8
1484719200,1,PHI,East,Atlantic,2,333,391,363,4,6,TOR,East,Atlantic,0,682,772,650,4,6
1486792800,1,DAL,West,Southwest,2,396,371,500,3,7,ORL,East,Southeast,2,363,375,379,1,2
1487916000,1,DEN,West,Northwest,0,438,432,535,2,4,BKN,East,Atlantic,9,160,83,80,0,0
1490331600,1,WAS,East,Southeast,1,605,600,736,2,6,BKN,East,Atlantic,0,211,146,147,3,5
